dur,proto,service,state,spkts,sbytes,rate,sttl,sload,sloss,sinpkt,sjit,swin,smean,is_sm_ips_ports,attack_cat,label
15.53235,tcp,-,REQ,20,900,1.223253,254,440.371246,19,817.492125,1294.16175,255,45,0,Normal,0
15.53235,tcp,-,REQ,20,900,1.223253,254,440.371246,19,817.492125,1294.16175,255,45,0,Normal,0
15.590977,tcp,-,REQ,20,900,1.218654,254,438.715302,19,820.57775,1301.85075,255,45,0,Normal,0
15.590977,tcp,-,REQ,20,900,1.218654,254,438.715302,19,820.57775,1301.85075,255,45,0,Normal,0
1.074494,tcp,-,FIN,10,2516,15.821401,254,16863.75195,2,119.388222,7733.705204,255,252,0,Normal,0
15.979696,tcp,-,REQ,18,810,1.06385,254,382.985992,17,939.982125,1630.5805,255,45,0,Normal,0
15.226356,tcp,-,REQ,18,810,1.116485,254,401.934662,17,895.668,1477.873125,255,45,0,Normal,0
15.979696,tcp,-,REQ,18,810,1.06385,254,382.985992,17,939.982125,1630.5805,255,45,0,Normal,0
15.226356,tcp,-,REQ,18,810,1.116485,254,401.934662,17,895.668,1477.873125,255,45,0,Normal,0
15.979696,tcp,-,REQ,18,810,1.06385,254,382.985992,17,939.982125,1630.5805,255,45,0,Normal,0
1.303518,tcp,http,FIN,12,898,14.575939,62,5057.083984,2,118.501635,6491.561713,255,75,0,Normal,0
15.226356,tcp,-,REQ,18,810,1.116485,254,401.934662,17,895.668,1477.873125,255,45,0,Normal,0
15.374568,tcp,-,REQ,16,720,0.975637,254,351.22937,15,1024.971188,1831.659375,255,45,0,Normal,0
15.374568,tcp,-,REQ,16,720,0.975637,254,351.22937,15,1024.971188,1831.659375,255,45,0,Normal,0
15.374568,tcp,-,REQ,16,720,0.975637,254,351.22937,15,1024.971188,1831.659375,255,45,0,Normal,0
0.582389,tcp,-,FIN,10,534,25.755981,254,6607.267578,2,64.699778,3507.093149,255,53,0,Normal,0
16.448053,tcp,-,REQ,14,630,0.790367,254,284.532166,13,1265.234875,2435.79,255,45,0,Normal,0
16.76671,tcp,-,REQ,14,630,0.775346,254,279.124512,13,1289.747,2508.6645,255,45,0,Normal,0
16.76671,tcp,-,REQ,14,630,0.775346,254,279.124512,13,1289.747,2508.6645,255,45,0,Normal,0
15.40279,tcp,-,REQ,14,630,0.844003,254,303.841064,13,1184.83,2188.4775,255,45,0,Normal,0
16.448053,tcp,-,REQ,14,630,0.790367,254,284.532166,13,1265.234875,2435.79,255,45,0,Normal,0
2.462774,tcp,-,FIN,10,2516,6.902785,254,7357.556641,2,273.641556,17425.54618,255,252,0,Normal,0
1.047169,tcp,-,FIN,10,534,16.234247,254,3674.669678,2,116.352111,7064.833854,255,53,0,Normal,0
16.76671,tcp,-,REQ,14,630,0.775346,254,279.124512,13,1289.747,2508.6645,255,45,0,Normal,0
16.448053,tcp,-,REQ,14,630,0.790367,254,284.532166,13,1265.234875,2435.79,255,45,0,Normal,0
15.40279,tcp,-,REQ,14,630,0.844003,254,303.841064,13,1184.83,2188.4775,255,45,0,Normal,0
15.40279,tcp,-,REQ,14,630,0.844003,254,303.841064,13,1184.83,2188.4775,255,45,0,Normal,0
2.417396,tcp,http,FIN,12,896,8.687033,62,2720.282471,2,219.671639,13318.12168,255,75,0,Normal,0
16.044233,tcp,-,REQ,12,540,0.685605,254,246.817657,11,1458.56675,2845.959,255,45,0,Normal,0
16.352577,tcp,-,REQ,12,540,0.672677,254,242.163666,11,1486.598,2934.0635,255,45,0,Normal,0
16.044233,tcp,-,REQ,12,540,0.685605,254,246.817657,11,1458.56675,2845.959,255,45,0,Normal,0
16.352577,tcp,-,REQ,12,540,0.672677,254,242.163666,11,1486.598,2934.0635,255,45,0,Normal,0
16.352577,tcp,-,REQ,12,540,0.672677,254,242.163666,11,1486.598,2934.0635,255,45,0,Normal,0
16.044233,tcp,-,REQ,12,540,0.685605,254,246.817657,11,1458.56675,2845.959,255,45,0,Normal,0
0.664512,tcp,-,FIN,10,534,22.572957,254,5790.71582,2,69.994778,3565.853629,255,53,0,Normal,0
0.860208,tcp,-,FIN,10,534,17.437643,254,4473.336914,2,95.474667,4650.146095,255,53,0,Normal,0
15.102544,tcp,-,REQ,10,450,0.595926,254,214.533401,9,1678.0605,3601.72875,255,45,0,Normal,0
1.979445,tcp,http,FIN,10,810,9.59865,62,2946.280518,2,219.938333,14679.52685,255,81,0,Normal,0
15.102544,tcp,-,REQ,10,450,0.595926,254,214.533401,9,1678.0605,3601.72875,255,45,0,Normal,0
1.763225,tcp,-,FIN,10,2516,9.641424,254,10276.62402,2,193.716111,11342.30539,255,252,0,Normal,0
0.651652,tcp,-,FIN,10,534,23.018422,254,5904.992188,2,68.209889,3503.393362,255,53,0,Normal,0
15.684376,tcp,-,REQ,10,450,0.573819,254,206.575012,9,1742.7085,3773.5005,255,45,0,Normal,0
15.684376,tcp,-,REQ,10,450,0.573819,254,206.575012,9,1742.7085,3773.5005,255,45,0,Normal,0
15.008936,tcp,-,REQ,8,360,0.466389,254,167.899979,7,2144.13375,4393.9205,255,45,0,Normal,0
15.008936,tcp,-,REQ,8,360,0.466389,254,167.899979,7,2144.13375,4393.9205,255,45,0,Normal,0
1.15935,tcp,-,FIN,10,534,14.663388,254,3319.101074,2,122.448111,8652.007826,255,53,0,Normal,0
16.131804,tcp,-,REQ,8,360,0.433925,254,156.213165,7,2304.54325,4770.138,255,45,0,Normal,0
16.131804,tcp,-,REQ,8,360,0.433925,254,156.213165,7,2304.54325,4770.138,255,45,0,Normal,0
0.717487,tcp,-,FIN,10,534,20.906303,254,5363.163574,2,66.388333,3284.802132,255,53,0,Normal,0
16.488672,tcp,-,REQ,6,270,0.303238,254,109.165855,5,3297.7345,6174.6335,255,45,0,Normal,0
0.874834,tcp,-,FIN,10,2516,19.432258,254,20712.5,2,97.190556,5023.861708,255,252,0,Normal,0
16.800188,tcp,-,REQ,6,270,0.297616,254,107.141655,5,3360.0375,6278.833,255,45,0,Normal,0
16.488672,tcp,-,REQ,6,270,0.303238,254,109.165855,5,3297.7345,6174.6335,255,45,0,Normal,0
16.800188,tcp,-,REQ,6,270,0.297616,254,107.141655,5,3360.0375,6278.833,255,45,0,Normal,0
1.538604,tcp,http,FIN,10,814,12.348856,62,3811.24707,2,170.860889,9513.325933,255,81,0,Normal,0
16.136995,tcp,-,REQ,6,270,0.309847,254,111.54493,5,3227.399,6033.978,255,45,0,Normal,0
16.136995,tcp,-,REQ,6,270,0.309847,254,111.54493,5,3227.399,6033.978,255,45,0,Normal,0
17.272808,tcp,-,REQ,4,180,0.173683,254,62.526024,3,5757.6025,8142.4755,255,45,0,Normal,0
17.267853,tcp,-,REQ,4,180,0.173733,254,62.543964,3,5755.9505,8140.131,255,45,0,Normal,0
17.267853,tcp,-,REQ,4,180,0.173733,254,62.543964,3,5755.9505,8140.131,255,45,0,Normal,0
0.869206,tcp,-,FIN,10,534,17.257129,254,4427.028809,2,89.176556,4647.90085,255,53,0,Normal,0
19.176811,tcp,-,REQ,4,180,0.156439,254,56.31802,3,6392.2705,9040.03,255,45,0,Normal,0
17.272808,tcp,-,REQ,4,180,0.173683,254,62.526024,3,5757.6025,8142.4755,255,45,0,Normal,0
16.687513,tcp,-,REQ,4,180,0.179775,254,64.719048,3,5562.5045,7866.557,255,45,0,Normal,0
19.176811,tcp,-,REQ,4,180,0.156439,254,56.31802,3,6392.2705,9040.03,255,45,0,Normal,0
0.816781,tcp,-,FIN,10,2516,18.364776,254,22184.65039,2,90.476222,4489.654147,255,252,0,Normal,0
16.687513,tcp,-,REQ,4,180,0.179775,254,64.719048,3,5562.5045,7866.557,255,45,0,Normal,0
0.724897,tcp,-,FIN,10,534,20.692594,254,5308.340332,2,78.324111,4176.591702,255,53,0,Normal,0
1.625287,tcp,http,FIN,12,876,11.690243,62,3952.532471,2,147.753369,7502.326999,255,73,0,Normal,0
1.739142,tcp,-,FIN,10,2516,9.774935,254,10418.93066,2,193.200556,11446.07773,255,252,0,Normal,0
0.885835,tcp,-,FIN,10,534,16.933176,254,4343.924316,2,98.388333,4828.08777,255,53,0,Normal,0
1.179485,tcp,-,FIN,10,534,14.413071,254,3262.440918,2,131.053889,7212.306954,255,53,0,Normal,0
1.318945,tcp,-,FIN,10,2516,12.889089,254,13738.25195,2,139.290556,8370.505282,255,252,0,Normal,0
1.048635,tcp,http,FIN,10,824,16.211551,62,5660.692383,2,116.515,6160.721977,255,82,0,Normal,0
1.49338,tcp,http,FIN,10,822,12.722817,62,3964.161865,2,165.843111,9429.113098,255,82,0,Normal,0
1.49338,tcp,http,FIN,10,822,12.722817,62,3964.161865,2,165.843111,9429.113098,255,82,0,Normal,0
0.657843,tcp,-,FIN,10,534,25.842032,254,5849.419922,2,71.205889,3940.160955,255,53,0,Normal,0
1.49338,tcp,http,FIN,10,822,12.722817,62,3964.161865,2,165.843111,9429.113098,255,82,0,Normal,0
1.450415,tcp,-,FIN,10,2516,11.720783,254,12492.97559,2,161.142778,10739.8817,255,252,0,Normal,0
1.45018,tcp,-,FIN,10,534,11.722682,254,2653.463623,2,161.131111,10858.87348,255,53,0,Normal,0
1.302269,tcp,-,FIN,10,534,13.054139,254,2954.842773,2,131.686,9299.015842,255,53,0,Normal,0
1.20946,tcp,http,FIN,10,816,14.055859,62,4861.673828,2,134.384444,8559.975615,255,82,0,Normal,0
0.638839,tcp,-,FIN,10,2516,23.480094,254,28363.95313,2,67.101111,3558.53123,255,252,0,Normal,0
1.368353,tcp,http,FIN,10,810,13.885306,62,4262.058105,2,151.936889,8151.237969,255,81,0,Normal,0
1.368353,tcp,http,FIN,10,810,13.885306,62,4262.058105,2,151.936889,8151.237969,255,81,0,Normal,0
0.963874,tcp,-,FIN,10,2516,17.63716,254,18799.13867,2,104.145556,6995.117633,255,252,0,Normal,0
0.866189,tcp,-,FIN,10,534,19.626202,254,4442.448242,2,91.926889,4882.050891,255,53,0,Normal,0
0.720965,tcp,http,FIN,10,800,23.579507,62,7989.291992,2,80.107222,4202.933493,255,80,0,Normal,0
0.650809,tcp,-,FIN,10,2516,23.048237,254,27842.27148,2,65.168778,3580.068927,255,252,0,Normal,0
1.09756,tcp,http,FIN,10,792,17.311126,62,5196.981934,2,121.937222,7823.68249,255,79,0,Normal,0
0.847027,tcp,-,FIN,10,534,17.708999,254,4542.948242,2,90.553,4881.42292,255,53,0,Normal,0
0.698707,tcp,-,FIN,10,2516,21.468227,254,25933.61719,2,72.785,3880.991189,255,252,0,Normal,0
1.058935,tcp,-,FIN,10,2516,16.053865,254,17111.53125,2,117.649444,7825.927286,255,252,0,Normal,0
0.762124,tcp,-,FIN,10,534,22.306081,254,5049.047363,2,84.680444,5196.7357,255,53,0,Normal,0
0.696721,tcp,-,FIN,10,2516,24.40001,254,26007.54102,2,74.717,4045.492527,255,252,0,Normal,0
1.552272,tcp,http,FIN,10,822,10.951689,62,3813.764648,2,172.474667,10175.85319,255,82,0,Normal,0
1.080772,tcp,-,FIN,10,534,15.729496,254,3560.417725,2,118.041778,7023.830555,255,53,0,Normal,0
0.685279,tcp,-,FIN,10,534,21.888895,254,5615.230957,2,63.285444,3505.66538,255,53,0,Normal,0
0.874161,tcp,http,FIN,10,796,21.735126,62,6561.720215,2,97.129,5342.234208,255,80,0,Normal,0
0.633507,tcp,-,FIN,10,2516,23.677717,254,28602.68164,2,66.765333,3599.072528,255,252,0,Normal,0
0.418529,tcp,-,FIN,10,534,35.83981,254,9194.105469,2,43.467333,2208.951184,255,53,0,Normal,0
9.734114,tcp,-,REQ,12,540,1.130046,254,406.816711,11,884.919437,1438.30125,255,45,0,Normal,0
9.05373,tcp,-,REQ,12,540,1.214969,254,437.388794,11,823.066375,1273.996375,255,45,0,Normal,0
8.834706,tcp,-,REQ,12,540,1.245089,254,448.232208,11,803.155062,1223.7005,255,45,0,Normal,0
9.05373,tcp,-,REQ,12,540,1.214969,254,437.388794,11,823.066375,1273.996375,255,45,0,Normal,0
8.232217,tcp,-,REQ,12,540,1.336214,254,481.036896,11,748.383375,1073.022,255,45,0,Normal,0
9.492497,tcp,-,REQ,12,540,1.15881,254,417.17157,11,862.95425,1377.74275,255,45,0,Normal,0
8.232217,tcp,-,REQ,12,540,1.336214,254,481.036896,11,748.383375,1073.022,255,45,0,Normal,0
9.492497,tcp,-,REQ,12,540,1.15881,254,417.17157,11,862.95425,1377.74275,255,45,0,Normal,0
1.139638,tcp,-,FIN,10,534,14.917018,254,3376.510986,2,126.522667,7527.464104,255,53,0,Normal,0
9.734114,tcp,-,REQ,12,540,1.130046,254,406.816711,11,884.919437,1438.30125,255,45,0,Normal,0
8.834706,tcp,-,REQ,12,540,1.245089,254,448.232208,11,803.155062,1223.7005,255,45,0,Normal,0
6e-06,tcp,-,REQ,2,90,166666.6608,254,59999996.0,1,0.006,0.0,255,45,0,Normal,0
13.982293,tcp,-,REQ,10,450,0.643671,254,231.721649,9,1553.588125,3023.2175,255,45,0,Normal,0
20.535067,tcp,-,REQ,10,450,0.438275,254,157.778885,9,2281.67375,5055.469,255,45,0,Normal,0
18.112692,tcp,-,REQ,10,450,0.496889,254,178.880096,9,2012.521375,4301.3875,255,45,0,Normal,0
0.500492,tcp,-,FIN,10,2516,29.97051,254,36204.375,2,55.454778,2698.828515,255,252,0,Normal,0
15.328777,tcp,-,REQ,10,450,0.587131,254,211.367157,9,1703.1975,3444.5785,255,45,0,Normal,0
14.958252,tcp,-,REQ,10,450,0.601675,254,216.602844,9,1662.028,3325.15875,255,45,0,Normal,0
13.053721,tcp,-,REQ,10,450,0.689459,254,248.205078,9,1450.4135,2746.9375,255,45,0,Normal,0
1.12155,tcp,http,FIN,12,890,18.724088,62,5820.516602,2,101.878273,6268.573175,255,74,0,Normal,0
14.958252,tcp,-,REQ,10,450,0.601675,254,216.602844,9,1662.028,3325.15875,255,45,0,Normal,0
19.106997,tcp,-,REQ,10,450,0.471032,254,169.571396,9,2122.9995,4611.1625,255,45,0,Normal,0
24.755817,tcp,-,REQ,10,450,0.363551,254,130.878326,9,2750.64575,6359.573,255,45,0,Normal,0
23.255651,tcp,-,REQ,10,450,0.387003,254,139.320969,9,2583.96125,5897.124,255,45,0,Normal,0
22.761002,tcp,-,REQ,10,450,0.395413,254,142.34874,9,2529.0,5749.481,255,45,0,Normal,0
23.255651,tcp,-,REQ,10,450,0.387003,254,139.320969,9,2583.96125,5897.124,255,45,0,Normal,0
22.761002,tcp,-,REQ,10,450,0.395413,254,142.34874,9,2529.0,5749.481,255,45,0,Normal,0
18.44595,tcp,-,REQ,10,450,0.487912,254,175.648315,9,2049.54975,4402.1095,255,45,0,Normal,0
24.755817,tcp,-,REQ,10,450,0.363551,254,130.878326,9,2750.64575,6359.573,255,45,0,Normal,0
15.328777,tcp,-,REQ,10,450,0.587131,254,211.367157,9,1703.1975,3444.5785,255,45,0,Normal,0
13.053721,tcp,-,REQ,10,450,0.689459,254,248.205078,9,1450.4135,2746.9375,255,45,0,Normal,0
20.535067,tcp,-,REQ,10,450,0.438275,254,157.778885,9,2281.67375,5055.469,255,45,0,Normal,0
21.025787,tcp,-,REQ,10,450,0.428046,254,154.096481,9,2336.19825,5212.482,255,45,0,Normal,0
21.987556,tcp,-,REQ,10,450,0.409322,254,147.356079,9,2443.06175,5508.143,255,45,0,Normal,0
18.112692,tcp,-,REQ,10,450,0.496889,254,178.880096,9,2012.521375,4301.3875,255,45,0,Normal,0
18.44595,tcp,-,REQ,10,450,0.487912,254,175.648315,9,2049.54975,4402.1095,255,45,0,Normal,0
21.987556,tcp,-,REQ,10,450,0.409322,254,147.356079,9,2443.06175,5508.143,255,45,0,Normal,0
21.025787,tcp,-,REQ,10,450,0.428046,254,154.096481,9,2336.19825,5212.482,255,45,0,Normal,0
19.106997,tcp,-,REQ,10,450,0.471032,254,169.571396,9,2122.9995,4611.1625,255,45,0,Normal,0
13.982293,tcp,-,REQ,10,450,0.643671,254,231.721649,9,1553.588125,3023.2175,255,45,0,Normal,0
23.333012,tcp,-,REQ,8,360,0.300004,254,108.001488,7,3333.28675,7123.69,255,45,0,Normal,0
23.333012,tcp,-,REQ,8,360,0.300004,254,108.001488,7,3333.28675,7123.69,255,45,0,Normal,0
9e-06,udp,-,INT,2,104,111111.1072,254,46222220.0,0,0.009,0.0,0,52,0,Normal,0
25.801886,tcp,-,REQ,8,360,0.271298,254,97.667282,7,3685.9835,7908.7935,255,45,0,Normal,0
23.387411,tcp,-,REQ,8,360,0.299306,254,107.750275,7,3341.05825,7135.8145,255,45,0,Normal,0
23.660702,tcp,-,REQ,8,360,0.295849,254,106.505714,7,3380.1,7207.256,255,45,0,Normal,0
25.758749,tcp,-,REQ,8,360,0.271752,254,97.830841,7,3679.82075,7908.3105,255,45,0,Normal,0
23.660702,tcp,-,REQ,8,360,0.295849,254,106.505714,7,3380.1,7207.256,255,45,0,Normal,0
25.758749,tcp,-,REQ,8,360,0.271752,254,97.830841,7,3679.82075,7908.3105,255,45,0,Normal,0
23.387411,tcp,-,REQ,8,360,0.299306,254,107.750275,7,3341.05825,7135.8145,255,45,0,Normal,0
1e-06,udp,-,INT,2,104,1000000.003,254,416000000.0,0,0.001,0.0,0,52,0,Normal,0
1.673592,tcp,http,FIN,10,810,11.352827,62,3484.720459,2,185.817333,11880.84357,255,81,0,Normal,0
0.764506,tcp,-,FIN,10,534,19.620514,254,5033.315918,2,81.707222,4438.601969,255,53,0,Normal,0
25.801886,tcp,-,REQ,8,360,0.271298,254,97.667282,7,3685.9835,7908.7935,255,45,0,Normal,0
2.185865,tcp,-,FIN,10,2516,7.777242,254,8289.625,2,235.241222,14077.74139,255,252,0,Normal,0
4e-06,igmp,-,INT,2,90,250000.0006,254,90000000.0,0,0.004,0.0,0,45,0,Normal,0
24.682304,tcp,-,REQ,6,270,0.202574,254,72.926743,5,4936.461,9053.515,255,45,0,Normal,0
25.819431,tcp,-,REQ,6,270,0.193653,254,69.714935,5,5163.8865,9501.71,255,45,0,Normal,0
3e-06,igmp,-,INT,2,2120,333333.3215,254,2826666496.0,0,0.003,0.0,0,1060,0,Normal,0
4e-06,igmp,-,INT,2,90,250000.0006,254,90000000.0,0,0.004,0.0,0,45,0,Normal,0
25.819431,tcp,-,REQ,6,270,0.193653,254,69.714935,5,5163.8865,9501.71,255,45,0,Normal,0
3e-06,igmp,-,INT,2,2120,333333.3215,254,2826666496.0,0,0.003,0.0,0,1060,0,Normal,0
24.682304,tcp,-,REQ,6,270,0.202574,254,72.926743,5,4936.461,9053.515,255,45,0,Normal,0
1.429959,tcp,-,FIN,10,534,10.489811,254,2690.986084,2,154.764778,9820.865541,255,53,0,Normal,0
31.542561,tcp,-,REQ,4,180,0.09511,254,34.239452,3,10514.187,14869.294,255,45,0,Normal,0
29.195513,tcp,-,REQ,4,180,0.102756,254,36.991985,3,9731.837,13762.884,255,45,0,Normal,0
30.79278,tcp,-,REQ,4,180,0.097425,254,35.073158,3,10264.259,14515.846,255,45,0,Normal,0
30.79278,tcp,-,REQ,4,180,0.097425,254,35.073158,3,10264.259,14515.846,255,45,0,Normal,0
27.413933,tcp,-,REQ,4,180,0.109433,254,39.396027,3,9137.977,12923.047,255,45,0,Normal,0
31.542561,tcp,-,REQ,4,180,0.09511,254,34.239452,3,10514.187,14869.294,255,45,0,Normal,0
0.524961,tcp,-,FIN,10,534,28.573551,254,7330.068359,2,58.226333,2984.401603,255,53,0,Normal,0
3e-06,udp,-,INT,2,104,333333.3215,254,138666656.0,0,0.003,0.0,0,52,0,Normal,0
29.195513,tcp,-,REQ,4,180,0.102756,254,36.991985,3,9731.837,13762.884,255,45,0,Normal,0
27.413933,tcp,-,REQ,4,180,0.109433,254,39.396027,3,9137.977,12923.047,255,45,0,Normal,0
5e-06,igmp,-,INT,2,90,200000.0051,254,72000000.0,0,0.005,0.0,0,45,0,Normal,0
5e-06,igmp,-,INT,2,90,200000.0051,254,72000000.0,0,0.005,0.0,0,45,0,Normal,0
1.129944,tcp,-,FIN,10,534,15.044994,254,3405.478516,2,122.617,6633.795682,255,53,0,Normal,0
1.964566,tcp,-,FIN,10,2516,8.653311,254,9223.411133,2,218.174222,13125.09697,255,252,0,Normal,0
2.349783,tcp,http,FIN,12,888,8.936996,62,2771.319824,2,213.616639,12385.515,255,74,0,Normal,0
7e-06,udp,-,INT,2,104,142857.1409,254,59428572.0,0,0.007,0.0,0,52,0,Normal,0
0.921987,ospf,-,INT,20,1280,20.607666,254,10551.125,0,48.525633,52.253805,0,64,0,Reconnaissance,1
0.921987,ospf,-,INT,20,1280,20.607666,254,10551.125,0,48.525633,52.253805,0,64,0,Reconnaissance,1
0.921987,ospf,-,INT,20,1280,20.607666,254,10551.125,0,48.525633,52.253805,0,64,0,Backdoor,1
0.921987,ospf,-,INT,20,1280,20.607666,254,10551.125,0,48.525633,52.253805,0,64,0,DoS,1
